,caseid_new,partner_political,resondent_political,income_gap_raw,same_political,income_gap,respondent_earn_more
449,717491,republican,democrat,partner earned more,0,1.0,0.0
450,718255,independent,democrat,partner earned more,0,1.0,0.0
451,719606,democrat,democrat,i earned more,1,1.0,1.0
452,721305,democrat,democrat,i earned more,1,1.0,1.0
453,722225,democrat,democrat,partner earned more,1,1.0,0.0
454,723325,independent,democrat,i earned more,0,1.0,1.0
455,724301,democrat,democrat,i earned more,1,1.0,1.0
456,725421,democrat,democrat,i earned more,1,1.0,1.0
457,726441,republican,republican,i earned more,1,1.0,1.0
458,727261,no preference,republican,partner earned more,0,1.0,0.0
459,729486,democrat,democrat,i earned more,1,1.0,1.0
460,731431,no preference,republican,i earned more,0,1.0,1.0
461,733315,democrat,democrat,i earned more,1,1.0,1.0
462,734541,independent,republican,i earned more,0,1.0,1.0
463,735751,republican,republican,partner earned more,1,1.0,0.0
464,737741,republican,republican,we earned about the same amount,1,0.0,
465,738561,independent,republican,partner earned more,0,1.0,0.0
466,740205,no preference,democrat,partner earned more,0,1.0,0.0
467,741351,republican,republican,i earned more,1,1.0,1.0
468,742246,republican,republican,partner earned more,1,1.0,0.0
469,744391,republican,republican,partner earned more,1,1.0,0.0
470,745435,no preference,republican,i earned more,0,1.0,1.0
471,746481,no preference,republican,partner earned more,0,1.0,0.0
472,747281,independent,republican,i earned more,0,1.0,1.0
473,748371,republican,republican,i earned more,1,1.0,1.0
474,749566,independent,democrat,i earned more,0,1.0,1.0
475,750561,republican,republican,partner earned more,1,1.0,0.0
476,752271,republican,republican,partner earned more,1,1.0,0.0
477,754281,republican,republican,partner earned more,1,1.0,0.0
478,755501,republican,republican,partner earned more,1,1.0,0.0
479,756296,no preference,republican,partner earned more,0,1.0,0.0
480,758456,democrat,democrat,i earned more,1,1.0,1.0
481,761391,democrat,democrat,i earned more,1,1.0,1.0
482,762205,democrat,democrat,partner earned more,1,1.0,0.0
483,767351,republican,democrat,partner earned more,0,1.0,0.0
484,768371,democrat,democrat,i earned more,1,1.0,1.0
485,771351,republican,republican,partner earned more,1,1.0,0.0
486,772291,republican,republican,i earned more,1,1.0,1.0
487,773351,democrat,democrat,i earned more,1,1.0,1.0
488,774401,no preference,other,partner earned more,0,1.0,0.0
489,775703,no preference,democrat,i earned more,0,1.0,1.0
490,777281,independent,republican,partner earned more,0,1.0,0.0
491,778421,republican,republican,partner earned more,1,1.0,0.0
492,780753,democrat,democrat,partner earned more,1,1.0,0.0
493,781615,republican,republican,i earned more,1,1.0,1.0
494,782861,no preference,republican,partner earned more,0,1.0,0.0
495,784651,democrat,republican,i earned more,0,1.0,1.0
496,786215,no preference,democrat,i earned more,0,1.0,1.0
497,787561,democrat,republican,we earned about the same amount,0,0.0,
