,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
343,546195,9.0,0,excellent,bottom_quartile
344,549235,5.0,0,excellent,bottom_quartile
345,552391,17.0,0,good,second_quartile
346,553481,34.0,0,excellent,top_quartile
347,554226,5.75,0,excellent,bottom_quartile
348,555401,24.0,0,excellent,third_quartile
349,556351,20.0,0,fair,third_quartile
350,557215,1.5,0,good,bottom_quartile
351,561504,22.0,0,fair,third_quartile
352,563456,18.0,0,good,third_quartile
353,564405,23.0,0,excellent,third_quartile
354,566581,35.0,0,excellent,top_quartile
355,567481,33.0,0,excellent,top_quartile
356,569215,6.5,0,excellent,bottom_quartile
357,570541,13.0,0,excellent,second_quartile
358,571671,40.0,0,excellent,top_quartile
359,573381,13.0,0,good,second_quartile
360,576461,22.0,0,excellent,third_quartile
361,577531,33.0,0,fair,top_quartile
362,578381,27.0,0,excellent,third_quartile
363,579591,50.0,0,good,top_quartile
364,580281,16.0,0,excellent,second_quartile
365,581391,24.0,0,good,third_quartile
366,582561,42.0,0,excellent,top_quartile
367,586275,0.75,0,good,bottom_quartile
368,587291,18.0,0,excellent,third_quartile
369,591385,7.5,0,excellent,bottom_quartile
370,593511,40.0,0,good,top_quartile
371,594631,20.0,0,excellent,third_quartile
372,595611,30.0,1,excellent,top_quartile
373,596591,47.0,0,excellent,top_quartile
374,597341,11.0,0,good,second_quartile
375,599531,23.0,0,fair,third_quartile
376,600571,42.0,0,excellent,top_quartile
377,601241,10.0,0,excellent,second_quartile
378,602406,0.15,0,excellent,bottom_quartile
379,604521,41.0,0,fair,top_quartile
380,606225,6.5,0,good,bottom_quartile
381,609701,44.0,0,good,top_quartile
382,610321,8.0,0,excellent,bottom_quartile
383,611351,11.0,0,good,second_quartile
384,612291,10.0,0,excellent,second_quartile
385,613781,60.0,0,excellent,top_quartile
386,615255,4.0,0,good,bottom_quartile
387,617501,19.0,0,excellent,third_quartile
388,619451,10.0,0,excellent,second_quartile
389,620565,16.0,0,excellent,second_quartile
390,622641,45.0,0,poor,top_quartile
391,623493,0.75,0,fair,bottom_quartile
392,624536,36.0,0,good,top_quartile
393,626255,10.0,0,excellent,second_quartile
394,627533,0.15,0,good,bottom_quartile
395,628841,72.0,0,good,top_quartile
396,630534,28.0,0,poor,third_quartile
397,632473,21.0,1,good,third_quartile
398,633631,19.0,0,good,third_quartile
399,635411,21.0,0,excellent,third_quartile
400,636631,52.0,0,excellent,top_quartile
401,639211,5.0,0,good,bottom_quartile
402,640596,9.0,0,good,bottom_quartile
403,645922,81.0,0,excellent,top_quartile
404,646613,1.5,1,excellent,bottom_quartile
405,648586,26.0,0,good,third_quartile
406,650616,25.0,0,fair,third_quartile
407,651701,55.0,0,excellent,top_quartile
408,652271,14.0,0,excellent,second_quartile
409,653573,26.0,0,good,third_quartile
410,654431,22.0,0,good,third_quartile
411,655505,2.5,0,fair,bottom_quartile
412,656225,9.0,0,good,bottom_quartile
413,657761,61.0,0,excellent,top_quartile
414,658356,22.0,0,good,third_quartile
415,660391,11.0,0,good,second_quartile
416,661466,25.0,0,good,third_quartile
417,663872,66.0,1,excellent,top_quartile
418,664501,28.0,0,good,third_quartile
419,665256,9.0,0,excellent,bottom_quartile
420,666686,15.0,1,excellent,second_quartile
421,667321,10.0,0,good,second_quartile
422,668501,34.0,0,excellent,top_quartile
423,669511,30.0,0,good,top_quartile
424,670721,54.0,0,excellent,top_quartile
425,671481,24.0,0,excellent,third_quartile
426,672681,53.0,0,excellent,top_quartile
427,673371,26.0,0,excellent,third_quartile
428,675671,54.0,0,excellent,top_quartile
429,677226,11.0,0,excellent,second_quartile
430,680225,5.05,0,excellent,bottom_quartile
431,686266,6.0,0,excellent,bottom_quartile
432,689556,19.0,0,good,third_quartile
433,690195,0.75,0,good,bottom_quartile
434,692321,13.0,0,good,second_quartile
435,693365,7.5,0,excellent,bottom_quartile
436,696413,1.45,0,excellent,bottom_quartile
437,697396,13.0,0,good,second_quartile
438,698271,14.0,0,good,second_quartile
439,700396,25.0,0,excellent,third_quartile
440,701496,15.0,0,excellent,second_quartile
441,703215,9.0,0,excellent,bottom_quartile
442,704331,13.0,0,excellent,second_quartile
443,706306,6.5,0,good,bottom_quartile
444,709205,0.05,0,good,bottom_quartile
445,711676,29.0,0,excellent,third_quartile
446,712403,6.0,0,poor,bottom_quartile
447,714533,9.0,0,excellent,bottom_quartile
448,715631,33.0,0,good,top_quartile
449,717491,20.0,0,excellent,third_quartile
450,718255,6.5,0,excellent,bottom_quartile
451,719606,37.0,0,excellent,top_quartile
452,721305,6.5,0,excellent,bottom_quartile
453,722225,1.75,0,good,bottom_quartile
454,723325,5.05,0,excellent,bottom_quartile
455,724301,13.0,0,excellent,second_quartile
456,725421,19.0,0,excellent,third_quartile
457,726441,31.0,0,excellent,top_quartile
458,727261,6.5,0,excellent,bottom_quartile
459,729486,26.0,0,excellent,third_quartile
460,731431,27.0,0,excellent,third_quartile
461,733315,16.0,0,good,second_quartile
462,734541,22.0,0,good,third_quartile
463,735751,60.0,1,good,top_quartile
464,737741,64.0,0,excellent,top_quartile
465,738561,18.0,0,fair,third_quartile
466,740205,6.0,0,fair,bottom_quartile
467,741351,10.0,0,excellent,second_quartile
468,742246,13.0,0,excellent,second_quartile
469,744391,26.0,0,good,third_quartile
470,745435,,0,good,top_quartile
471,746481,38.0,0,excellent,top_quartile
472,747281,12.0,0,excellent,second_quartile
473,748371,18.0,0,excellent,third_quartile
474,749566,14.0,0,excellent,second_quartile
475,750561,43.0,0,excellent,top_quartile
476,752271,13.0,0,excellent,second_quartile
477,754281,15.0,0,excellent,second_quartile
478,755501,25.0,0,fair,third_quartile
479,756296,14.0,0,good,second_quartile
480,758456,26.0,0,excellent,third_quartile
481,761391,14.0,0,excellent,second_quartile
482,762205,6.5,0,excellent,bottom_quartile
483,767351,14.0,0,good,second_quartile
484,768371,18.0,0,excellent,third_quartile
485,771351,21.0,0,excellent,third_quartile
486,772291,18.0,0,excellent,third_quartile
487,773351,23.0,0,excellent,third_quartile
488,774401,11.0,0,good,second_quartile
489,775703,9.0,0,good,bottom_quartile
490,777281,12.0,0,good,second_quartile
491,778421,28.0,0,excellent,third_quartile
492,780753,31.0,0,excellent,top_quartile
493,781615,26.0,0,excellent,third_quartile
494,782861,65.0,0,excellent,top_quartile
495,784651,49.0,0,excellent,top_quartile
496,786215,12.0,0,excellent,second_quartile
497,787561,10.0,0,excellent,second_quartile
498,788331,16.0,0,good,second_quartile
499,789391,23.0,0,good,third_quartile
500,790595,31.0,0,good,top_quartile
501,791225,6.0,0,excellent,bottom_quartile
502,792573,16.0,0,excellent,second_quartile
503,793436,12.0,0,excellent,second_quartile
504,794276,6.0,0,excellent,bottom_quartile
505,797421,9.0,0,poor,bottom_quartile
506,798543,4.75,0,fair,bottom_quartile
507,799451,,0,excellent,top_quartile
508,800531,37.0,0,fair,top_quartile
509,803573,9.0,0,good,bottom_quartile
510,805546,4.5,1,good,bottom_quartile
511,806551,41.0,0,excellent,top_quartile
512,808583,2.5,0,good,bottom_quartile
513,809281,13.0,0,excellent,second_quartile
